date,freight_rate,open,high,low,vol,change,freight_rate_outlier
2015-01-02,771.0,771.00,771.00,771.00,,-1.41%,False
2015-01-05,761.0,761.00,761.00,761.00,,-1.30%,False
2015-01-06,758.0,758.00,758.00,758.00,,-0.39%,False
2015-01-07,744.0,744.00,744.00,744.00,,-1.85%,False
2015-01-08,724.0,724.00,724.00,724.00,,-2.69%,False
2015-01-09,709.0,709.00,709.00,709.00,,-2.07%,False
2015-01-12,723.0,723.00,723.00,723.00,,1.97%,False
2015-01-13,762.0,762.00,762.00,762.00,,5.39%,False
2015-01-14,757.0,757.00,757.00,757.00,,-0.66%,False
2015-01-15,749.0,749.00,749.00,749.00,,-1.06%,False
2015-01-16,741.0,741.00,741.00,741.00,,-1.07%,False
2015-01-19,739.0,739.00,739.00,739.00,,-0.27%,False
2015-01-20,753.0,753.00,753.00,753.00,,1.89%,False
2015-01-21,770.0,770.00,770.00,770.00,,2.26%,False
2015-01-22,751.0,751.00,751.00,751.00,,-2.47%,False
2015-01-23,720.0,720.00,720.00,720.00,,-4.13%,False
2015-01-26,703.0,703.00,703.00,703.00,,-2.36%,False
2015-01-27,688.0,688.00,688.00,688.00,,-2.13%,False
2015-01-28,666.0,666.00,666.00,666.00,,-3.20%,False
2015-01-29,632.0,632.00,632.00,632.00,,-5.11%,False
2015-01-30,608.0,608.00,608.00,608.00,,-3.80%,False
2015-02-02,590.0,590.00,590.00,590.00,,-2.96%,False
2015-02-03,577.0,577.00,577.00,577.00,,-2.20%,False
2015-02-04,569.0,569.00,569.00,569.00,,-1.39%,False
2015-02-05,564.0,564.00,564.00,564.00,,-0.88%,False
2015-02-06,559.0,559.00,559.00,559.00,,-0.89%,False
2015-02-09,554.0,554.00,554.00,554.00,,-0.89%,False
2015-02-10,556.0,556.00,556.00,556.00,,0.36%,False
2015-02-11,553.0,553.00,553.00,553.00,,-0.54%,False
2015-02-12,540.0,540.00,540.00,540.00,,-2.35%,False
2015-02-13,530.0,530.00,530.00,530.00,,-1.85%,False
2015-02-16,522.0,522.00,522.00,522.00,,-1.51%,False
2015-02-17,516.0,516.00,516.00,516.00,,-1.15%,False
2015-02-18,509.0,509.00,509.00,509.00,,-1.36%,False
2015-02-23,512.0,512.00,512.00,512.00,,0.59%,False
2015-02-24,516.0,516.00,516.00,516.00,,0.78%,False
2015-02-25,524.0,524.00,524.00,524.00,,1.55%,False
2015-02-26,533.0,533.00,533.00,533.00,,1.72%,False
2015-02-27,540.0,540.00,540.00,540.00,,1.31%,False
2015-03-02,548.0,548.00,548.00,548.00,,1.48%,False
2015-03-03,553.0,553.00,553.00,553.00,,0.91%,False
2015-03-04,559.0,559.00,559.00,559.00,,1.08%,False
2015-03-05,561.0,561.00,561.00,561.00,,0.36%,False
2015-03-06,565.0,565.00,565.00,565.00,,0.71%,False
2015-03-09,568.0,568.00,568.00,568.00,,0.53%,False
2015-03-10,568.0,568.00,568.00,568.00,,0.00%,False
2015-03-11,565.0,565.00,565.00,565.00,,-0.53%,False
2015-03-12,560.0,560.00,560.00,560.00,,-0.88%,False
2015-03-13,562.0,562.00,562.00,562.00,,0.36%,False
2015-03-16,564.0,564.00,564.00,564.00,,0.36%,False
2015-03-17,568.0,568.00,568.00,568.00,,0.71%,False
2015-03-18,571.0,571.00,571.00,571.00,,0.53%,False
2015-03-19,584.0,584.00,584.00,584.00,,2.28%,False
2015-03-20,591.0,591.00,591.00,591.00,,1.20%,False
2015-03-23,594.0,594.00,594.00,594.00,,0.51%,False
2015-03-24,597.0,597.00,597.00,597.00,,0.51%,False
2015-03-25,598.0,598.00,598.00,598.00,,0.17%,False
2015-03-26,598.0,598.00,598.00,598.00,,0.00%,False
2015-03-27,596.0,596.00,596.00,596.00,,-0.33%,False
2015-03-30,599.0,599.00,599.00,599.00,,0.50%,False
2015-03-31,602.0,602.00,602.00,602.00,,0.50%,False
2015-04-01,596.0,596.00,596.00,596.00,,-1.00%,False
2015-04-02,588.0,588.00,588.00,588.00,,-1.34%,False
2015-04-07,583.0,583.00,583.00,583.00,,-0.85%,False
2015-04-08,580.0,580.00,580.00,580.00,,-0.51%,False
2015-04-09,580.0,580.00,580.00,580.00,,0.00%,False
2015-04-10,580.0,580.00,580.00,580.00,,0.00%,False
2015-04-13,578.0,578.00,578.00,578.00,,-0.34%,False
2015-04-14,581.0,581.00,581.00,581.00,,0.52%,False
2015-04-15,586.0,586.00,586.00,586.00,,0.86%,False
2015-04-16,593.0,593.00,593.00,593.00,,1.19%,False
2015-04-17,597.0,597.00,597.00,597.00,,0.67%,False
2015-04-20,598.0,598.00,598.00,598.00,,0.17%,False
2015-04-21,601.0,601.00,601.00,601.00,,0.50%,False
2015-04-22,600.0,600.00,600.00,600.00,,-0.17%,False
2015-04-23,599.0,599.00,599.00,599.00,,-0.17%,False
2015-04-24,600.0,600.00,600.00,600.00,,0.17%,False
2015-04-27,600.0,600.00,600.00,600.00,,0.00%,False
2015-04-28,601.0,601.00,601.00,601.00,,0.17%,False
2015-04-29,595.0,595.00,595.00,595.00,,-1.00%,False
2015-04-30,591.0,591.00,591.00,591.00,,-0.67%,False
2015-05-01,587.0,587.00,587.00,587.00,,-0.68%,False
2015-05-05,580.0,580.00,580.00,580.00,,-1.19%,False
2015-05-06,575.0,575.00,575.00,575.00,,-0.86%,False
2015-05-07,573.0,573.00,573.00,573.00,,-0.35%,False
2015-05-08,574.0,574.00,574.00,574.00,,0.17%,False
2015-05-11,578.0,578.00,578.00,578.00,,0.70%,False
2015-05-12,589.0,589.00,589.00,589.00,,1.90%,False
2015-05-13,634.0,634.00,634.00,634.00,,7.64%,True
2015-05-14,637.0,637.00,637.00,637.00,,0.47%,False
2015-05-15,634.0,634.00,634.00,634.00,,-0.47%,False
2015-05-18,630.0,630.00,630.00,630.00,,-0.63%,False
2015-05-19,620.0,620.00,620.00,620.00,,-1.59%,False
2015-05-20,606.0,606.00,606.00,606.00,,-2.26%,False
2015-05-21,592.0,592.00,592.00,592.00,,-2.31%,False
2015-05-22,586.0,592.00,592.00,586.00,,-1.01%,False
2015-05-26,584.0,584.00,584.00,584.00,,-0.34%,False
2015-05-27,587.0,587.00,587.00,587.00,,0.51%,False
2015-05-28,588.0,588.00,588.00,588.00,,0.17%,False
2015-05-29,589.0,589.00,589.00,589.00,,0.17%,False
2015-06-01,589.0,589.00,589.00,589.00,,0.00%,False
2015-06-02,591.0,591.00,591.00,591.00,,0.34%,False
2015-06-03,598.0,598.00,598.00,598.00,,1.18%,False
2015-06-04,603.0,603.00,603.00,603.00,,0.84%,False
2015-06-05,610.0,610.00,610.00,610.00,,1.16%,False
2015-06-08,610.0,610.00,610.00,610.00,,0.00%,False
2015-06-09,612.0,612.00,612.00,612.00,,0.33%,False
2015-06-10,618.0,618.00,618.00,618.00,,0.98%,False
2015-06-11,629.0,629.00,629.00,629.00,,1.78%,False
2015-06-12,642.0,642.00,642.00,642.00,,2.07%,False
2015-06-15,656.0,656.00,656.00,656.00,,2.18%,False
2015-06-16,681.0,681.00,681.00,681.00,,3.81%,False
2015-06-17,725.0,725.00,725.00,725.00,,6.46%,True
2015-06-18,773.0,773.00,773.00,773.00,,6.62%,True
2015-06-19,779.0,779.00,779.00,779.00,,0.78%,False
2015-06-22,779.0,779.00,779.00,779.00,,0.00%,False
2015-06-23,790.0,790.00,790.00,790.00,,1.41%,False
2015-06-24,829.0,829.00,829.00,829.00,,4.94%,False
2015-06-25,829.0,829.00,829.00,829.00,,0.00%,False
2015-06-26,823.0,823.00,823.00,823.00,,-0.72%,False
2015-06-29,813.0,813.00,813.00,813.00,,-1.22%,False
2015-06-30,800.0,800.00,800.00,800.00,,-1.60%,False
2015-07-01,794.0,794.00,794.00,794.00,,-0.75%,False
2015-07-02,794.0,794.00,794.00,794.00,,0.00%,False
2015-07-03,805.0,805.00,805.00,805.00,,1.39%,False
2015-07-06,815.0,815.00,815.00,815.00,,1.24%,False
2015-07-07,830.0,830.00,830.00,830.00,,1.84%,False
2015-07-08,840.0,840.00,840.00,840.00,,1.20%,False
2015-07-09,853.0,853.00,853.00,853.00,,1.55%,False
2015-07-10,874.0,874.00,874.00,874.00,,2.46%,False
2015-07-13,900.0,900.00,900.00,900.00,,2.97%,False
2015-07-14,915.0,915.00,915.00,915.00,,1.67%,False
2015-07-15,951.0,951.00,951.00,951.00,,3.93%,False
2015-07-16,1009.0,"1,009.00","1,009.00","1,009.00",,6.10%,False
2015-07-17,1048.0,"1,048.00","1,048.00","1,048.00",,3.87%,False
2015-07-20,1067.0,"1,067.00","1,067.00","1,067.00",,1.81%,False
2015-07-21,1113.0,"1,113.00","1,113.00","1,113.00",,4.31%,False
2015-07-22,1118.0,"1,118.00","1,118.00","1,118.00",,0.45%,False
2015-07-23,1102.0,"1,102.00","1,102.00","1,102.00",,-1.43%,False
2015-07-24,1086.0,"1,086.00","1,086.00","1,086.00",,-1.45%,False
2015-07-27,1090.0,"1,090.00","1,090.00","1,090.00",,0.37%,False
2015-07-28,1094.0,"1,094.00","1,094.00","1,094.00",,0.37%,False
2015-07-29,1104.0,"1,104.00","1,104.00","1,104.00",,0.91%,False
2015-07-30,1100.0,"1,100.00","1,100.00","1,100.00",,-0.36%,False
2015-07-31,1131.0,"1,131.00","1,131.00","1,131.00",,2.82%,False
2015-08-03,1151.0,"1,151.00","1,151.00","1,151.00",,1.77%,False
2015-08-04,1200.0,"1,200.00","1,200.00","1,200.00",,4.26%,False
2015-08-05,1222.0,"1,222.00","1,222.00","1,222.00",,1.83%,False
2015-08-06,1201.0,"1,201.00","1,201.00","1,201.00",,-1.72%,False
2015-08-07,1200.0,"1,200.00","1,200.00","1,200.00",,-0.08%,False
2015-08-10,1197.0,"1,197.00","1,197.00","1,197.00",,-0.25%,False
2015-08-11,1162.0,"1,162.00","1,162.00","1,162.00",,-2.92%,False
2015-08-12,1093.0,"1,093.00","1,093.00","1,093.00",,-5.94%,False
2015-08-13,1046.0,"1,046.00","1,046.00","1,046.00",,-4.30%,False
2015-08-14,1055.0,"1,055.00","1,055.00","1,055.00",,0.86%,False
2015-08-17,1063.0,"1,063.00","1,063.00","1,063.00",,0.76%,False
2015-08-18,1046.0,"1,046.00","1,046.00","1,046.00",,-1.60%,False
2015-08-19,1031.0,"1,031.00","1,031.00","1,031.00",,-1.43%,False
2015-08-20,1014.0,"1,014.00","1,014.00","1,014.00",,-1.65%,False
2015-08-21,994.0,994.00,994.00,994.00,,-1.97%,False
2015-08-24,968.0,968.00,968.00,968.00,,-2.62%,False
2015-08-25,942.0,942.00,942.00,942.00,,-2.69%,False
2015-08-26,918.0,918.00,918.00,918.00,,-2.55%,False
2015-08-27,905.0,905.00,905.00,905.00,,-1.42%,False
2015-08-28,903.0,903.00,903.00,903.00,,-0.22%,False
2015-09-01,911.0,911.00,911.00,911.00,,0.89%,False
2015-09-02,906.0,906.00,906.00,906.00,,-0.55%,False
2015-09-03,891.0,891.00,891.00,891.00,,-1.66%,False
2015-09-04,875.0,875.00,875.00,875.00,,-1.80%,False
2015-09-07,876.0,876.00,876.00,876.00,,0.11%,False
2015-09-08,873.0,873.00,873.00,873.00,,-0.34%,False
2015-09-09,855.0,855.00,855.00,855.00,,-2.06%,False
2015-09-10,830.0,830.00,830.00,830.00,,-2.92%,False
2015-09-11,818.0,818.00,818.00,818.00,,-1.45%,False
2015-09-14,805.0,805.00,805.00,805.00,,-1.59%,False
2015-09-15,802.0,802.00,802.00,802.00,,-0.37%,False
2015-09-16,814.0,818.00,818.00,814.00,,1.50%,False
2015-09-17,883.0,883.00,883.00,883.00,,8.48%,False
2015-09-18,960.0,960.00,960.00,960.00,,8.72%,False
2015-09-21,978.0,978.00,978.00,978.00,,1.88%,False
2015-09-22,923.0,923.00,923.00,923.00,,-5.62%,False
2015-09-23,917.0,917.00,917.00,917.00,,-0.65%,False
2015-09-24,922.0,922.00,922.00,922.00,,0.55%,False
2015-09-25,943.0,943.00,943.00,943.00,,2.28%,False
2015-09-28,943.0,943.00,943.00,943.00,,0.00%,False
2015-09-29,926.0,926.00,926.00,926.00,,-1.80%,False
2015-09-30,900.0,900.00,900.00,900.00,,-2.81%,False
2015-10-01,888.0,888.00,888.00,888.00,,-1.33%,False
2015-10-02,889.0,889.00,889.00,889.00,,0.11%,False
2015-10-05,881.0,881.00,881.00,881.00,,-0.90%,False
2015-10-06,869.0,869.00,869.00,869.00,,-1.36%,False
2015-10-07,841.0,841.00,841.00,841.00,,-3.22%,False
2015-10-08,817.0,817.00,817.00,817.00,,-2.85%,False
2015-10-09,809.0,809.00,809.00,809.00,,-0.98%,False
2015-10-12,809.0,809.00,809.00,809.00,,0.00%,False
2015-10-13,804.0,804.00,804.00,804.00,,-0.62%,False
2015-10-14,787.0,787.00,787.00,787.00,,-2.11%,False
2015-10-15,766.0,766.00,766.00,766.00,,-2.67%,False
2015-10-16,754.0,754.00,754.00,754.00,,-1.57%,False
2015-10-19,747.0,747.00,747.00,747.00,,-0.93%,False
2015-10-20,762.0,762.00,762.00,762.00,,2.01%,False
2015-10-21,780.0,780.00,780.00,780.00,,2.36%,False
2015-10-22,786.0,786.00,786.00,786.00,,0.77%,False
2015-10-23,774.0,774.00,774.00,774.00,,-1.53%,False
2015-10-26,759.0,759.00,759.00,759.00,,-1.94%,False
2015-10-27,739.0,739.00,739.00,739.00,,-2.64%,False
2015-10-28,736.0,736.00,736.00,736.00,,-0.41%,False
2015-10-29,728.0,728.00,728.00,728.00,,-1.09%,False
2015-10-30,721.0,721.00,721.00,721.00,,-0.96%,False
2015-11-02,706.0,706.00,706.00,706.00,,-2.08%,False
2015-11-03,680.0,680.00,680.00,680.00,,-3.68%,False
2015-11-04,657.0,680.00,680.00,657.00,,-3.38%,False
2015-11-05,640.0,640.00,640.00,640.00,,-2.59%,False
2015-11-06,631.0,631.00,631.00,631.00,,-1.41%,False
2015-11-09,628.0,628.00,628.00,628.00,,-0.48%,False
2015-11-10,622.0,622.00,622.00,622.00,,-0.96%,False
2015-11-11,599.0,599.00,599.00,599.00,,-3.70%,False
2015-11-12,579.0,579.00,579.00,579.00,,-3.34%,False
2015-11-13,560.0,560.00,560.00,560.00,,-3.28%,False
2015-11-16,550.0,550.00,550.00,550.00,,-1.79%,False
2015-11-17,537.0,537.00,537.00,537.00,,-2.36%,False
2015-11-18,519.0,519.00,519.00,519.00,,-3.35%,False
2015-11-19,504.0,504.00,504.00,504.00,,-2.89%,False
2015-11-20,498.0,498.00,498.00,498.00,,-1.19%,False
2015-11-23,516.0,516.00,516.00,516.00,,3.61%,False
2015-11-24,528.0,528.00,528.00,528.00,,2.33%,False
2015-11-25,546.0,546.00,546.00,546.00,,3.41%,False
2015-11-26,562.0,562.00,562.00,562.00,,2.93%,False
2015-11-27,581.0,581.00,581.00,581.00,,3.38%,False
2015-11-30,584.0,584.00,584.00,584.00,,0.52%,False
2015-12-01,598.0,598.00,598.00,598.00,,2.40%,False
2015-12-02,590.0,590.00,590.00,590.00,,-1.34%,False
2015-12-03,574.0,574.00,574.00,574.00,,-2.71%,False
2015-12-04,563.0,563.00,563.00,563.00,,-1.92%,False
2015-12-07,551.0,551.00,551.00,551.00,,-2.13%,False
2015-12-08,551.0,551.00,551.00,551.00,,0.00%,False
2015-12-09,546.0,546.00,546.00,546.00,,-0.91%,False
2015-12-10,534.0,534.00,534.00,534.00,,-2.20%,False
2015-12-11,522.0,522.00,522.00,522.00,,-2.25%,False
2015-12-14,508.0,508.00,508.00,508.00,,-2.68%,False
2015-12-15,484.0,484.00,484.00,484.00,,-4.72%,False
2015-12-16,471.0,471.00,471.00,471.00,,-2.69%,False
2015-12-17,471.0,471.00,471.00,471.00,,0.00%,False
2015-12-18,477.0,477.00,477.00,477.00,,1.27%,False
2015-12-21,478.0,478.00,478.00,478.00,,0.21%,False
2015-12-22,474.0,474.00,474.00,474.00,,-0.84%,False
2015-12-23,475.0,475.00,475.00,475.00,,0.21%,False
2015-12-24,478.0,478.00,478.00,478.00,,0.63%,False
2016-01-04,473.0,473.00,473.00,473.00,,-1.05%,False
2016-01-05,468.0,468.00,468.00,468.00,,-1.06%,False
2016-01-06,467.0,467.00,467.00,467.00,,-0.21%,False
