origin_country,origin,destination,distance_nm,source,distance_basis,distance_nm_outlier
Australia,Port Hedland,Paradip,3224.39,NGA WPI + SeaRoute,maritime route,False
Australia,Port Hedland,Visakhapatnam,3252.1,NGA WPI + SeaRoute,maritime route,False
Australia,Port Hedland,Gangavaram,3252.1,NGA WPI + SeaRoute,maritime route,False
Australia,Port Hedland,Gopalpur,3332.13,NGA WPI + SeaRoute,maritime route,False
Australia,Port Hedland,Dhamra,3224.39,NGA WPI + SeaRoute,maritime route,False
Australia,Newcastle,Paradip,5668.84,NGA WPI + SeaRoute,maritime route,False
Australia,Newcastle,Visakhapatnam,5696.55,NGA WPI + SeaRoute,maritime route,False
Australia,Newcastle,Gangavaram,5696.55,NGA WPI + SeaRoute,maritime route,False
Australia,Newcastle,Gopalpur,5776.59,NGA WPI + SeaRoute,maritime route,False
Australia,Newcastle,Dhamra,5668.84,NGA WPI + SeaRoute,maritime route,False
Australia,Hay Point,Paradip,4899.0,NGA WPI + SeaRoute,maritime route,False
Australia,Hay Point,Visakhapatnam,4926.71,NGA WPI + SeaRoute,maritime route,False
Australia,Hay Point,Gangavaram,4926.71,NGA WPI + SeaRoute,maritime route,False
Australia,Hay Point,Gopalpur,5006.75,NGA WPI + SeaRoute,maritime route,False
Australia,Hay Point,Dhamra,4899.0,NGA WPI + SeaRoute,maritime route,False
Australia,Gladstone,Paradip,5073.55,NGA WPI + SeaRoute,maritime route,False
Australia,Gladstone,Visakhapatnam,5101.26,NGA WPI + SeaRoute,maritime route,False
Australia,Gladstone,Gangavaram,5101.26,NGA WPI + SeaRoute,maritime route,False
Australia,Gladstone,Gopalpur,5181.3,NGA WPI + SeaRoute,maritime route,False
Australia,Gladstone,Dhamra,5073.55,NGA WPI + SeaRoute,maritime route,False
Indonesia,Balikpapan,Paradip,2625.95,NGA WPI + SeaRoute,maritime route,False
Indonesia,Balikpapan,Visakhapatnam,2653.65,NGA WPI + SeaRoute,maritime route,False
Indonesia,Balikpapan,Gangavaram,2653.65,NGA WPI + SeaRoute,maritime route,False
Indonesia,Balikpapan,Gopalpur,2733.69,NGA WPI + SeaRoute,maritime route,False
Indonesia,Balikpapan,Dhamra,2625.95,NGA WPI + SeaRoute,maritime route,False
Indonesia,Samarinda,Paradip,2692.04,NGA WPI + SeaRoute,maritime route,False
Indonesia,Samarinda,Visakhapatnam,2719.75,NGA WPI + SeaRoute,maritime route,False
Indonesia,Samarinda,Gangavaram,2719.75,NGA WPI + SeaRoute,maritime route,False
Indonesia,Samarinda,Gopalpur,2799.78,NGA WPI + SeaRoute,maritime route,False
Indonesia,Samarinda,Dhamra,2692.04,NGA WPI + SeaRoute,maritime route,False
Mozambique,Beira,Paradip,4384.81,NGA WPI + SeaRoute,maritime route,False
Mozambique,Beira,Visakhapatnam,4130.04,NGA WPI + SeaRoute,maritime route,False
Mozambique,Beira,Gangavaram,4130.04,NGA WPI + SeaRoute,maritime route,False
Mozambique,Beira,Gopalpur,4210.08,NGA WPI + SeaRoute,maritime route,False
Mozambique,Beira,Dhamra,4384.81,NGA WPI + SeaRoute,maritime route,False
Mozambique,Nacala,Paradip,3879.44,NGA WPI + SeaRoute,maritime route,False
Mozambique,Nacala,Visakhapatnam,3624.67,NGA WPI + SeaRoute,maritime route,False
Mozambique,Nacala,Gangavaram,3624.67,NGA WPI + SeaRoute,maritime route,False
Mozambique,Nacala,Gopalpur,3704.7,NGA WPI + SeaRoute,maritime route,False
Mozambique,Nacala,Dhamra,3879.44,NGA WPI + SeaRoute,maritime route,False
Russia,Vostochny,Paradip,4612.49,NGA WPI + SeaRoute,maritime route,False
Russia,Vostochny,Visakhapatnam,4640.2,NGA WPI + SeaRoute,maritime route,False
Russia,Vostochny,Gangavaram,4640.2,NGA WPI + SeaRoute,maritime route,False
Russia,Vostochny,Gopalpur,4720.23,NGA WPI + SeaRoute,maritime route,False
Russia,Vostochny,Dhamra,4612.49,NGA WPI + SeaRoute,maritime route,False
Russia,Vanino,Paradip,5109.41,NGA WPI + SeaRoute,maritime route,False
Russia,Vanino,Visakhapatnam,5137.12,NGA WPI + SeaRoute,maritime route,False
Russia,Vanino,Gangavaram,5137.12,NGA WPI + SeaRoute,maritime route,False
Russia,Vanino,Gopalpur,5217.16,NGA WPI + SeaRoute,maritime route,False
Russia,Vanino,Dhamra,5109.41,NGA WPI + SeaRoute,maritime route,False
